COMBUSTIBLE,CLASE,SERVICIO,DEPARTAMENTO,AÑO_REGISTRO,PESO,EJES,TOTAL_BATERIAS,DURABILIDAD_BATERIA,AÑO_REEMPLAZO,CAMBIOS_A_2050
1,1,0,2,2016,690.0,2.0,1,8,2024,4
1,1,0,2,2012,1510.0,2.0,1,8,2020,4
1,1,0,2,2020,1365.0,2.0,1,9,2029,3
1,0,0,12,2022,2360.0,2.0,1,8,2030,3
1,0,0,2,2021,2270.0,2.0,1,8,2029,3
1,0,1,2,2022,2550.0,2.0,1,5,2027,5
1,1,0,2,2019,1345.0,2.0,1,8,2027,3
1,1,0,3,2021,1365.0,2.0,1,8,2029,3
1,1,0,3,2015,1620.0,2.0,1,9,2024,3
1,0,0,2,2022,2120.0,2.0,1,9,2031,3
1,1,0,2,2021,0.0,0.0,1,8,2029,3
1,1,0,3,2020,1345.0,2.0,1,9,2029,3
1,1,0,2,2012,1510.0,2.0,1,8,2020,4
1,1,0,3,2016,690.0,2.0,1,8,2024,4
1,1,0,2,2022,,,1,9,2031,3
1,0,1,1,2022,4000.0,2.0,1,5,2027,5
1,0,1,7,2022,3220.0,0.0,1,5,2027,5
1,1,0,3,2018,1970.0,2.0,1,9,2027,3
1,1,0,1,2021,0.0,2.0,1,9,2030,3
1,1,0,3,2017,1960.0,2.0,1,8,2025,4
1,0,0,3,2022,2280.0,2.0,1,8,2030,3
1,1,0,2,2016,690.0,2.0,1,8,2024,4
1,0,1,2,2019,2190.0,2.0,1,5,2024,6
1,0,0,3,2022,2280.0,2.0,1,9,2031,3
1,1,0,3,2021,1445.0,2.0,1,8,2029,3
1,1,0,3,2022,1995.0,2.0,1,9,2031,3
1,1,0,3,2021,1705.0,2.0,1,9,2030,3
1,1,0,3,2022,1815.0,2.0,1,9,2031,3
1,0,0,3,2022,2177.0,2.0,1,8,2030,3
1,0,0,2,2022,1980.0,2.0,1,8,2030,3
1,0,0,3,2022,2595.0,2.0,1,8,2030,3
1,0,0,3,2022,2280.0,2.0,1,8,2030,3
1,1,0,3,2019,1345.0,2.0,1,9,2028,3
1,0,1,1,2022,4000.0,2.0,1,5,2027,5
1,0,1,2,2020,3195.0,2.0,1,5,2025,6
1,0,0,2,2022,,0.0,1,9,2031,3
1,1,0,3,2018,1965.0,2.0,1,8,2026,4
1,1,0,3,2022,1815.0,2.0,1,8,2030,3
1,0,1,12,2021,4000.0,2.0,1,5,2026,5
1,0,0,4,2022,2440.0,2.0,1,8,2030,3
1,1,0,2,2017,1327.0,2.0,1,8,2025,4
1,1,0,3,2019,1965.0,2.0,1,9,2028,3
1,1,0,3,2019,2275.0,2.0,1,8,2027,3
1,1,0,2,2022,1440.0,2.0,1,8,2030,3
1,1,0,3,2022,,,1,8,2030,3
1,0,0,3,2022,2298.0,2.0,1,8,2030,3
1,1,0,3,2020,1988.0,2.0,1,9,2029,3
1,1,0,2,2016,690.0,2.0,1,9,2025,3
1,1,0,2,2022,1440.0,2.0,1,9,2031,3
1,1,0,2,2015,1340.0,2.0,1,9,2024,3
1,1,0,3,2019,1365.0,2.0,1,9,2028,3
1,1,0,3,2019,1345.0,2.0,1,9,2028,3
1,1,0,3,2020,1345.0,2.0,1,8,2028,3
1,1,0,3,2015,1340.0,2.0,1,8,2023,4
1,1,0,3,2022,1440.0,2.0,1,8,2030,3
1,0,0,3,2022,2595.0,2.0,1,9,2031,3
1,0,0,2,2019,1835.0,2.0,1,8,2027,3
1,0,0,2,2022,1980.0,2.0,1,9,2031,3
1,1,0,2,2018,1965.0,2.0,1,8,2026,4
1,1,0,2,2022,,,1,9,2031,3
1,0,1,1,2021,4000.0,0.0,1,5,2026,5
1,0,0,3,2022,2280.0,2.0,1,8,2030,3
1,1,0,3,2019,1965.0,2.0,1,9,2028,3
1,1,0,2,2019,1365.0,2.0,1,8,2027,3
1,1,0,9,2021,1440.0,2.0,1,8,2029,3
1,1,0,3,2019,1345.0,2.0,1,8,2027,3
1,0,1,7,2021,,,1,5,2026,5
1,0,0,3,2022,2280.0,2.0,1,9,2031,3
1,1,0,3,2022,,,1,9,2031,3
1,0,1,2,2019,2190.0,2.0,1,5,2024,6
1,0,0,3,2022,1980.0,2.0,1,9,2031,3
1,0,0,3,2022,2280.0,2.0,1,9,2031,3
1,1,0,2,2015,1340.0,2.0,1,8,2023,4
1,0,0,3,2022,2068.0,2.0,1,8,2030,3
1,1,0,3,2015,1270.0,2.0,1,9,2024,3
1,1,0,2,2018,1965.0,2.0,1,9,2027,3
1,0,0,2,2021,2000.0,2.0,1,9,2030,3
1,1,0,3,2016,690.0,2.0,1,9,2025,3
1,0,0,3,2022,2065.0,2.0,1,9,2031,3
1,1,0,3,2020,1965.0,2.0,1,9,2029,3
1,1,0,2,2020,1988.0,2.0,1,8,2028,3
1,1,0,2,2021,1555.0,2.0,1,8,2029,3
1,1,0,2,2016,690.0,2.0,1,8,2024,4
1,0,0,3,2022,1980.0,2.0,1,9,2031,3
1,1,0,2,2021,1555.0,2.0,1,9,2030,3
1,1,0,3,2020,1700.0,2.0,1,8,2028,3
1,1,0,3,2022,1440.0,2.0,1,8,2030,3
1,1,0,2,2021,1965.0,2.0,1,9,2030,3
1,0,0,2,2022,2440.0,2.0,1,8,2030,3
1,1,0,1,2022,1140.0,21.0,1,9,2031,3
1,1,0,3,2018,1965.0,2.0,1,8,2026,4
1,0,0,3,2021,1966.0,2.0,1,9,2030,3
1,0,1,12,2022,1870.0,2.0,1,5,2027,5
1,1,0,2,2021,1555.0,2.0,1,8,2029,3
1,0,0,3,2022,1966.0,2.0,1,8,2030,3
1,1,0,2,2020,1625.0,2.0,1,8,2028,3
1,0,0,3,2022,2595.0,2.0,1,8,2030,3
1,1,0,2,2021,1365.0,2.0,1,9,2030,3
1,0,0,3,2022,2065.0,2.0,1,8,2030,3
1,1,0,3,2020,,,1,9,2029,3
1,1,0,2,2022,1965.0,2.0,1,8,2030,3
1,0,0,0,2022,1980.0,2.0,1,9,2031,3
1,0,0,2,2022,,0.0,1,8,2030,3
1,0,1,1,2022,,,1,5,2027,5
1,1,0,1,2021,1555.0,2.0,1,9,2030,3
1,1,0,2,2019,1965.0,2.0,1,9,2028,3
1,1,0,2,2022,1965.0,2.0,1,8,2030,3
1,1,0,9,2016,1340.0,2.0,1,8,2024,4
1,0,0,3,2017,2870.0,2.0,1,9,2026,3
1,1,0,3,2018,1970.0,2.0,1,8,2026,4
1,1,0,3,2022,1815.0,2.0,1,9,2031,3
1,1,0,3,2019,1345.0,2.0,1,9,2028,3
1,1,0,3,2019,1988.0,2.0,1,8,2027,3
1,1,0,2,2021,1440.0,2.0,1,9,2030,3
1,0,1,1,2021,2600.0,2.0,1,5,2026,5
1,1,0,1,2020,1988.0,2.0,1,9,2029,3
1,1,0,3,2016,690.0,2.0,1,9,2025,3
1,1,0,3,2019,1365.0,2.0,1,9,2028,3
1,1,0,3,2021,1365.0,2.0,1,8,2029,3
1,0,0,3,2021,0.0,0.0,1,8,2029,3
1,0,0,1,2020,2270.0,2.0,1,8,2028,3
1,1,0,3,2018,,2.0,1,9,2027,3
1,1,0,3,2022,1440.0,2.0,1,9,2031,3
1,1,0,3,2016,1270.0,2.0,1,9,2025,3
1,1,0,3,2022,1965.0,2.0,1,8,2030,3
1,1,0,2,2017,1285.0,2.0,1,8,2025,4
1,0,1,2,2013,2290.0,2.0,1,5,2018,7
1,0,0,2,2022,2440.0,2.0,1,8,2030,3
1,1,0,2,2018,1965.0,2.0,1,8,2026,4
1,0,0,12,2021,,0.0,1,9,2030,3
1,0,1,2,2021,4495.0,,1,5,2026,5
1,1,0,2,2016,690.0,2.0,1,9,2025,3
1,1,0,3,2017,1320.0,2.0,1,9,2026,3
1,1,0,1,2016,690.0,2.0,1,8,2024,4
1,1,0,3,2019,1965.0,2.0,1,8,2027,3
1,0,1,2,2021,,,1,5,2026,5
1,1,0,3,2021,1440.0,2.0,1,9,2030,3
1,0,0,3,2022,2440.0,2.0,1,8,2030,3
1,0,0,3,2021,2650.0,2.0,1,9,2030,3
1,1,0,3,2019,1965.0,2.0,1,9,2028,3
1,0,0,2,2022,2595.0,2.0,1,9,2031,3
1,1,1,3,2013,0.0,2.0,1,5,2018,7
1,0,0,3,2021,2000.0,2.0,1,9,2030,3
1,1,0,3,2018,1450.0,2.0,1,9,2027,3
1,1,0,3,2019,1345.0,2.0,1,9,2028,3
1,0,0,17,2021,,0.0,1,8,2029,3
1,1,0,2,2019,1965.0,2.0,1,9,2028,3
1,1,0,3,2019,1988.0,2.0,1,9,2028,3
1,0,0,3,2022,2280.0,2.0,1,8,2030,3
1,1,0,3,2012,1510.0,2.0,1,8,2020,4
1,1,0,2,2022,1440.0,2.0,1,9,2031,3
1,1,0,3,2022,1440.0,2.0,1,9,2031,3
1,1,0,3,2015,1270.0,2.0,1,8,2023,4
1,1,0,3,2016,690.0,2.0,1,9,2025,3
1,1,0,3,2022,1988.0,2.0,1,9,2031,3
1,0,1,2,2014,1340.0,2.0,1,5,2019,7
1,1,0,2,2019,1365.0,2.0,1,9,2028,3
1,1,0,1,2022,1965.0,2.0,1,8,2030,3
1,0,0,2,2020,1870.0,2.0,1,8,2028,3
1,1,0,3,2020,1365.0,2.0,1,8,2028,3
1,0,0,3,2022,3060.0,2.0,1,8,2030,3
1,1,0,2,2019,1965.0,2.0,1,8,2027,3
1,0,0,3,2021,2670.0,2.0,1,9,2030,3
1,0,0,3,2022,0.0,0.0,1,8,2030,3
1,0,1,2,2021,2550.0,2.0,1,5,2026,5
1,0,0,7,2016,2260.0,2.0,1,8,2024,4
1,0,0,7,2021,,0.0,1,8,2029,3
1,1,0,2,2019,2275.0,2.0,1,8,2027,3
1,0,0,2,2022,1980.0,2.0,1,8,2030,3
1,1,0,3,2019,1988.0,2.0,1,8,2027,3
1,0,1,1,2010,0.0,0.0,1,5,2015,8
1,0,1,2,2021,4000.0,2.0,1,5,2026,5
1,1,0,2,2022,1630.0,2.0,1,9,2031,3
1,1,0,6,2020,700.0,0.0,1,9,2029,3
1,1,0,7,2021,1988.0,2.0,1,8,2029,3
1,0,0,2,2021,2000.0,2.0,1,9,2030,3
1,1,0,17,2015,1340.0,2.0,1,9,2024,3
1,1,0,2,2021,1440.0,2.0,1,9,2030,3
1,0,0,3,2022,2180.0,2.0,1,8,2030,3
1,1,0,3,2021,1365.0,2.0,1,8,2029,3
1,1,0,3,2021,1988.0,2.0,1,8,2029,3
1,1,0,3,2019,1988.0,2.0,1,8,2027,3
1,0,1,1,2022,4495.0,2.0,1,5,2027,5
1,1,0,2,2016,1954.0,2.0,1,9,2025,3
1,1,0,3,2022,1440.0,2.0,1,8,2030,3
1,0,0,2,2022,2595.0,2.0,1,8,2030,3
1,1,0,3,2021,1440.0,2.0,1,9,2030,3
1,1,0,3,2021,1965.0,2.0,1,9,2030,3
1,1,0,3,2022,1815.0,2.0,1,8,2030,3
1,1,0,3,2015,1270.0,2.0,1,9,2024,3
1,1,0,3,2019,1988.0,2.0,1,9,2028,3
1,0,0,3,2022,2180.0,2.0,1,8,2030,3
1,0,0,2,2022,2180.0,2.0,1,8,2030,3
1,0,1,1,2022,4000.0,2.0,1,5,2027,5
1,0,0,2,2021,2270.0,2.0,1,8,2029,3
1,1,0,3,2015,1340.0,2.0,1,8,2023,4
1,0,1,1,2022,,,1,5,2027,5
1,1,0,3,2020,1345.0,2.0,1,9,2029,3
1,1,0,3,2017,1270.0,2.0,1,9,2026,3
1,0,0,0,2022,1980.0,2.0,1,9,2031,3
1,1,0,2,2019,1365.0,2.0,1,8,2027,3
1,0,0,2,2022,,0.0,1,8,2030,3
1,0,0,3,2022,2595.0,2.0,1,8,2030,3
1,0,0,18,2022,,,1,9,2031,3
1,1,0,1,2021,1555.0,2.0,1,8,2029,3
1,0,1,1,2011,0.0,0.0,1,5,2016,7
1,0,0,3,2016,1340.0,2.0,1,9,2025,3
1,0,1,1,2021,845.0,,1,5,2026,5
1,0,1,1,2022,2550.0,,1,5,2027,5
1,0,0,3,2022,2440.0,2.0,1,9,2031,3
1,0,1,2,2022,2550.0,2.0,1,5,2027,5
1,1,0,2,2022,2880.0,2.0,1,9,2031,3
1,1,0,2,2018,1327.0,2.0,1,9,2027,3
1,1,0,2,2020,2275.0,2.0,1,9,2029,3
1,0,1,1,2020,2190.0,2.0,1,5,2025,6
1,0,0,2,2021,2650.0,2.0,1,9,2030,3
1,1,0,3,2022,1988.0,2.0,1,8,2030,3
1,1,0,3,2017,1285.0,2.0,1,8,2025,4
1,0,0,2,2021,0.0,2.0,1,8,2029,3
1,1,0,3,2020,1988.0,2.0,1,9,2029,3
1,1,0,3,2016,1270.0,2.0,1,9,2025,3
1,0,0,3,2022,1980.0,2.0,1,8,2030,3
1,1,0,3,2021,1345.0,2.0,1,9,2030,3
1,0,0,3,2022,2180.0,2.0,1,8,2030,3
1,1,0,2,2016,690.0,2.0,1,9,2025,3
1,0,0,3,2022,2065.0,2.0,1,9,2031,3
1,1,0,8,2021,1445.0,2.0,1,9,2030,3
1,0,0,2,2022,2595.0,2.0,1,8,2030,3
1,0,0,3,2022,2440.0,2.0,1,8,2030,3
1,1,0,3,2022,1555.0,2.0,1,8,2030,3
1,0,0,3,2022,2595.0,2.0,1,9,2031,3
1,1,0,3,2022,1440.0,2.0,1,9,2031,3
1,1,0,2,2016,690.0,2.0,1,9,2025,3
1,0,0,3,2022,,,1,9,2031,3
1,0,0,2,2022,2065.0,2.0,1,8,2030,3
1,0,1,2,2019,2200.0,2.0,1,5,2024,6
1,1,0,3,2018,1965.0,2.0,1,8,2026,4
1,0,0,3,2020,1870.0,2.0,1,8,2028,3
1,1,0,3,2018,1320.0,2.0,1,8,2026,4
1,0,0,2,2021,2270.0,2.0,1,9,2030,3
1,0,0,3,2022,2065.0,2.0,1,9,2031,3
1,0,0,3,2022,2180.0,2.0,1,9,2031,3
1,0,0,3,2022,2280.0,2.0,1,9,2031,3
1,0,1,1,2021,845.0,2.0,1,5,2026,5
1,1,0,3,2021,1988.0,2.0,1,9,2030,3
1,0,0,3,2021,,,1,8,2029,3
1,1,0,1,2019,,,1,8,2027,3
1,1,0,3,2018,1320.0,2.0,1,8,2026,4
1,0,0,3,2022,1980.0,2.0,1,8,2030,3
1,0,1,1,2022,4000.0,2.0,1,5,2027,5
1,0,0,7,2018,2910.0,2.0,1,8,2026,4
1,0,0,3,2022,2068.0,2.0,1,9,2031,3
1,1,0,3,2018,1320.0,2.0,1,8,2026,4
1,1,0,7,2020,1988.0,2.0,1,8,2028,3
1,0,1,1,2010,0.0,0.0,1,5,2015,8
1,1,0,3,2020,1965.0,2.0,1,9,2029,3
1,0,1,2,2022,3220.0,,1,5,2027,5
1,0,1,1,2021,845.0,2.0,1,5,2026,5
1,0,1,2,2019,2190.0,2.0,1,5,2024,6
1,0,0,2,2014,1340.0,2.0,1,9,2023,4
1,1,0,1,2021,1988.0,2.0,1,9,2030,3
1,0,0,2,2022,2595.0,2.0,1,8,2030,3
1,0,0,7,2020,0.0,0.0,1,9,2029,3
1,0,1,1,2022,4000.0,2.0,1,5,2027,5
1,1,0,1,2021,1365.0,2.0,1,8,2029,3
1,1,0,3,2019,1365.0,2.0,1,8,2027,3
1,0,1,2,2019,2190.0,2.0,1,5,2024,6
1,1,0,2,2015,1340.0,2.0,1,8,2023,4
1,1,0,3,2019,1965.0,2.0,1,9,2028,3
1,0,1,2,2021,2550.0,,1,5,2026,5
1,0,0,3,2022,2280.0,2.0,1,9,2031,3
1,1,0,3,2018,1965.0,2.0,1,9,2027,3
1,0,1,1,2022,,,1,5,2027,5
1,1,0,2,2022,1440.0,2.0,1,8,2030,3
1,1,0,3,2016,1954.0,2.0,1,8,2024,4
1,1,0,2,2017,690.0,2.0,1,9,2026,3
1,1,0,2,2018,1320.0,2.0,1,8,2026,4
1,1,0,3,2018,1320.0,2.0,1,9,2027,3
1,0,1,2,2022,3220.0,2.0,1,5,2027,5
1,1,0,3,2021,1700.0,2.0,1,8,2029,3
1,0,0,3,2022,1980.0,2.0,1,8,2030,3
1,0,1,1,2011,0.0,0.0,1,5,2016,7
1,0,1,1,2017,1505.0,2.0,1,5,2022,6
1,0,1,2,2021,,,1,5,2026,5
1,0,1,1,2011,0.0,0.0,1,5,2016,7
1,1,0,3,2016,690.0,2.0,1,9,2025,3
1,1,0,2,2018,1965.0,2.0,1,9,2027,3
1,0,0,6,2022,,,1,8,2030,3
1,0,0,2,2022,,,1,9,2031,3
1,0,1,1,2022,2190.0,2.0,1,5,2027,5
1,0,1,1,2022,2550.0,,1,5,2027,5
1,1,0,3,2019,1965.0,2.0,1,8,2027,3
1,1,0,2,2022,1555.0,2.0,1,8,2030,3
1,0,0,3,2022,2178.0,2.0,1,8,2030,3
1,1,0,3,2020,1965.0,2.0,1,8,2028,3
1,1,0,3,2019,1965.0,2.0,1,8,2027,3
1,1,0,3,2019,1345.0,2.0,1,8,2027,3
1,1,0,0,2015,1340.0,2.0,1,8,2023,4
1,1,0,2,2018,1320.0,2.0,1,9,2027,3
1,1,0,3,2022,1440.0,2.0,1,9,2031,3
1,1,0,2,2015,1340.0,2.0,1,8,2023,4
1,0,0,2,2021,1870.0,2.0,1,8,2029,3
1,1,0,3,2022,1815.0,2.0,1,9,2031,3
1,1,0,2,2012,1510.0,2.0,1,8,2020,4
1,0,0,2,2022,2595.0,2.0,1,8,2030,3
1,0,0,3,2022,2177.0,2.0,1,8,2030,3
1,1,0,3,2022,1988.0,2.0,1,9,2031,3
1,1,0,3,2020,1965.0,2.0,1,9,2029,3
1,1,0,3,2022,1815.0,2.0,1,9,2031,3
1,0,1,1,2022,4495.0,2.0,1,5,2027,5
1,0,1,2,2019,2190.0,2.0,1,5,2024,6
1,1,0,3,2018,1960.0,2.0,1,9,2027,3
1,0,0,3,2020,0.0,0.0,1,8,2028,3
1,1,0,3,2015,574.0,2.0,1,8,2023,4
1,1,0,2,2018,1965.0,2.0,1,9,2027,3
1,1,1,2,2019,1965.0,2.0,1,5,2024,6
1,0,0,2,2018,2270.0,2.0,1,8,2026,4
1,1,0,3,2019,1320.0,2.0,1,8,2027,3
1,1,0,3,2017,690.0,2.0,1,9,2026,3
1,0,0,3,2021,2670.0,2.0,1,9,2030,3
1,0,0,6,2022,,,1,9,2031,3
1,1,0,2,2016,690.0,2.0,1,8,2024,4
1,1,0,3,2021,1988.0,2.0,1,8,2029,3
1,0,0,3,2021,,0.0,1,9,2030,3
1,0,0,14,2022,,,1,8,2030,3
1,1,0,2,2021,1445.0,2.0,1,8,2029,3
1,1,0,12,2021,1445.0,2.0,1,9,2030,3
1,0,0,1,2020,2270.0,2.0,1,9,2029,3
1,0,0,2,2021,2000.0,2.0,1,8,2029,3
1,0,0,2,2020,2670.0,2.0,1,9,2029,3
1,1,0,3,2022,1995.0,2.0,1,8,2030,3
1,1,0,3,2021,1365.0,2.0,1,9,2030,3
1,1,0,3,2021,1965.0,2.0,1,9,2030,3
1,1,0,3,2022,1440.0,2.0,1,9,2031,3
1,0,0,2,2022,2650.0,2.0,1,9,2031,3
1,1,0,1,2021,1555.0,2.0,1,9,2030,3
1,1,0,3,2019,1365.0,2.0,1,9,2028,3
1,0,1,1,2021,4000.0,0.0,1,5,2026,5
1,0,0,3,2021,1835.0,2.0,1,9,2030,3
1,1,0,3,2022,1440.0,2.0,1,9,2031,3
1,0,0,3,2021,1825.0,2.0,1,8,2029,3
1,0,0,3,2020,1835.0,2.0,1,9,2029,3
1,1,0,3,2022,1965.0,2.0,1,9,2031,3
1,1,0,3,2018,1965.0,2.0,1,9,2027,3
1,1,0,3,2020,1988.0,2.0,1,9,2029,3
1,0,0,3,2022,2440.0,2.0,1,9,2031,3
1,1,0,3,2021,1625.0,2.0,1,8,2029,3
1,0,0,3,2022,2180.0,2.0,1,9,2031,3
1,0,0,3,2016,2260.0,2.0,1,9,2025,3
1,0,1,2,2021,845.0,,1,5,2026,5
1,1,0,3,2020,1965.0,2.0,1,9,2029,3
1,0,1,1,2022,,,1,5,2027,5
1,1,0,3,2019,1988.0,2.0,1,9,2028,3
1,1,0,2,2022,1555.0,2.0,1,8,2030,3
1,1,0,3,2021,1345.0,2.0,1,9,2030,3
1,1,0,3,2012,1510.0,2.0,1,8,2020,4
1,1,0,2,2020,1965.0,2.0,1,8,2028,3
1,0,0,3,2022,3060.0,2.0,1,8,2030,3
1,0,0,3,2021,1966.0,2.0,1,9,2030,3
1,1,0,17,2019,1965.0,2.0,1,8,2027,3
1,1,0,3,2017,1280.0,2.0,1,9,2026,3
1,0,0,3,2020,2670.0,2.0,1,8,2028,3
1,1,0,3,2022,1815.0,2.0,1,8,2030,3
1,0,1,2,2019,2190.0,2.0,1,5,2024,6
1,0,1,3,2018,2190.0,2.0,1,5,2023,6
1,0,1,3,2022,,,1,5,2027,5
1,1,0,3,2019,1988.0,2.0,1,8,2027,3
1,1,0,3,2016,690.0,2.0,1,9,2025,3
1,1,0,10,2021,1445.0,2.0,1,9,2030,3
1,1,0,3,2018,1965.0,2.0,1,8,2026,4
1,0,0,2,2022,2000.0,2.0,1,9,2031,3
1,1,0,3,2019,,2.0,1,9,2028,3
1,0,0,2,2021,1870.0,2.0,1,8,2029,3
1,0,1,2,2019,2190.0,2.0,1,5,2024,6
1,1,0,3,2021,1345.0,2.0,1,8,2029,3
1,0,0,12,2022,,,1,8,2030,3
1,1,0,1,2021,1365.0,2.0,1,9,2030,3
1,1,0,2,2021,1965.0,2.0,1,9,2030,3
1,1,0,3,2018,,2.0,1,9,2027,3
1,0,0,3,2022,2595.0,2.0,1,9,2031,3
1,1,0,3,2020,1345.0,2.0,1,9,2029,3
1,1,0,3,2020,1345.0,2.0,1,9,2029,3
1,0,1,1,2022,2550.0,,1,5,2027,5
1,0,0,6,2022,,,1,9,2031,3
1,1,0,3,2019,1365.0,2.0,1,8,2027,3
1,0,0,6,2020,2270.0,2.0,1,9,2029,3
1,1,0,3,2022,1440.0,2.0,1,9,2031,3
1,1,0,2,2019,1965.0,2.0,1,8,2027,3
1,0,1,13,2019,,,1,5,2024,6
1,1,0,2,2021,1440.0,2.0,1,8,2029,3
1,0,1,1,2022,2550.0,,1,5,2027,5
1,1,0,3,2022,1625.0,2.0,1,8,2030,3
1,1,0,3,2020,1365.0,2.0,1,8,2028,3
1,1,0,2,2020,1365.0,2.0,1,9,2029,3
1,1,0,2,2015,,0.0,1,8,2023,4
1,1,0,3,2019,1345.0,2.0,1,8,2027,3
1,0,1,1,2022,2550.0,,1,5,2027,5
1,0,0,3,2022,2440.0,2.0,1,9,2031,3
1,1,0,3,2022,1815.0,2.0,1,9,2031,3
1,0,0,2,2020,2270.0,2.0,1,8,2028,3
1,1,0,2,2020,1965.0,2.0,1,9,2029,3
1,0,1,2,2022,2550.0,2.0,1,5,2027,5
1,1,0,2,2022,1440.0,2.0,1,8,2030,3
1,0,1,3,2022,3220.0,0.0,1,5,2027,5
1,0,0,12,2022,,,1,8,2030,3
1,1,0,2,2020,1965.0,2.0,1,9,2029,3
1,1,0,12,2019,1365.0,2.0,1,8,2027,3
1,0,0,3,2021,2650.0,2.0,1,9,2030,3
1,0,0,2,2022,2595.0,2.0,1,8,2030,3
1,1,0,3,2021,1965.0,2.0,1,9,2030,3
1,0,1,2,2022,2550.0,2.0,1,5,2027,5
1,1,1,2,2019,2275.0,2.0,1,5,2024,6
1,0,0,2,2022,2068.0,2.0,1,9,2031,3
1,1,0,3,2018,1320.0,2.0,1,9,2027,3
1,1,0,3,2020,1365.0,2.0,1,9,2029,3
1,0,0,12,2022,2360.0,2.0,1,8,2030,3
1,1,0,3,2019,1365.0,2.0,1,9,2028,3
1,1,0,2,2021,2880.0,2.0,1,8,2029,3
1,1,0,3,2022,1705.0,2.0,1,8,2030,3
1,1,0,2,2021,1555.0,2.0,1,9,2030,3
1,0,0,3,2020,2000.0,2.0,1,8,2028,3
1,0,0,2,2022,1980.0,2.0,1,9,2031,3
1,0,1,2,2022,4000.0,2.0,1,5,2027,5
1,1,0,3,2021,1445.0,2.0,1,8,2029,3
1,0,0,2,2020,3000.0,2.0,1,8,2028,3
1,1,0,3,2019,1965.0,2.0,1,8,2027,3
1,1,0,3,2017,1281.0,2.0,1,9,2026,3
1,1,0,3,2020,1965.0,2.0,1,9,2029,3
1,0,0,12,2022,,,1,9,2031,3
1,1,0,2,2017,1327.0,2.0,1,8,2025,4
1,0,1,2,2021,845.0,,1,5,2026,5
1,0,0,2,2022,1980.0,2.0,1,9,2031,3
1,1,0,3,2020,1965.0,2.0,1,9,2029,3
1,0,0,1,2022,,0.0,1,9,2031,3
1,1,0,3,2021,1988.0,2.0,1,8,2029,3
1,0,1,2,2020,3195.0,2.0,1,5,2025,6
1,0,0,2,2020,2190.0,2.0,1,9,2029,3
1,1,0,3,2022,1440.0,2.0,1,9,2031,3
1,0,1,1,2022,2190.0,2.0,1,5,2027,5
1,0,0,12,2022,2360.0,2.0,1,9,2031,3
1,0,0,3,2022,2595.0,2.0,1,8,2030,3
1,1,0,3,2020,1345.0,2.0,1,9,2029,3
1,0,0,6,2022,,,1,8,2030,3
1,0,0,7,2022,1980.0,2.0,1,8,2030,3
1,1,0,2,2015,1340.0,2.0,1,9,2024,3
1,1,0,12,2021,1700.0,2.0,1,9,2030,3
1,1,0,3,2022,,,1,9,2031,3
1,1,0,3,2021,1345.0,2.0,1,8,2029,3
1,1,0,1,2022,2015.0,2.0,1,9,2031,3
1,1,0,3,2020,1365.0,2.0,1,8,2028,3
1,0,0,3,2022,1980.0,2.0,1,8,2030,3
1,1,0,3,2019,1345.0,2.0,1,9,2028,3
1,1,0,3,2020,1345.0,2.0,1,8,2028,3
1,1,0,3,2018,1320.0,2.0,1,9,2027,3
1,0,0,3,2021,2650.0,2.0,1,8,2029,3
1,1,0,2,2021,1440.0,2.0,1,9,2030,3
1,0,1,2,2021,4000.0,2.0,1,5,2026,5
1,1,0,3,2019,1345.0,2.0,1,8,2027,3
1,1,0,3,2018,1320.0,2.0,1,8,2026,4
1,1,0,3,2022,,,1,9,2031,3
1,1,0,8,2021,1445.0,2.0,1,8,2029,3
1,1,0,2,2021,1555.0,2.0,1,8,2029,3
1,0,0,7,2021,2670.0,2.0,1,9,2030,3
1,1,0,3,2015,1270.0,2.0,1,8,2023,4
1,0,1,1,2022,2550.0,,1,5,2027,5
1,0,0,3,2022,2440.0,2.0,1,8,2030,3
1,1,0,3,2019,1988.0,2.0,1,9,2028,3
1,0,0,3,2022,2065.0,2.0,1,9,2031,3
1,1,0,2,2018,1965.0,2.0,1,9,2027,3
1,1,0,7,2015,1340.0,2.0,1,9,2024,3
1,0,0,12,2022,2420.0,2.0,1,8,2030,3
1,1,1,3,2013,0.0,2.0,1,5,2018,7
1,1,0,2,2019,1965.0,2.0,1,8,2027,3
1,1,0,7,2013,1510.0,2.0,1,9,2022,4
1,0,1,2,2022,2550.0,2.0,1,5,2027,5
1,1,0,1,2021,,,1,9,2030,3
1,0,0,2,2021,2000.0,2.0,1,8,2029,3
1,0,0,3,2021,1870.0,2.0,1,8,2029,3
1,0,0,3,2022,2065.0,2.0,1,9,2031,3
1,1,0,2,2015,1340.0,2.0,1,9,2024,3
1,0,1,1,2022,2550.0,,1,5,2027,5
1,1,0,9,2022,1440.0,2.0,1,8,2030,3
1,1,0,2,2021,1440.0,2.0,1,8,2029,3
1,0,0,4,2022,2420.0,2.0,1,9,2031,3
1,1,0,2,2021,1625.0,2.0,1,8,2029,3
1,1,0,3,2020,1365.0,2.0,1,9,2029,3
1,1,0,3,2022,1815.0,2.0,1,8,2030,3
1,1,0,3,2021,1440.0,2.0,1,9,2030,3
1,0,0,3,2022,3060.0,2.0,1,8,2030,3
1,0,0,3,2021,2000.0,2.0,1,9,2030,3
